Title,List Author,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Plausibility Pleading [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Boston College Law Review, Vol. 49, Issue 2 (March 2008), pp. 431-494",49 B.C. L. Rev. 431 (2008),194,13,10,"Practice and Procedure, Procedure",9686.0
Understanding Pleading Doctrine [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Michigan Law Review , Vol. 108, Issue 1 (October 2009), pp. 1-36",108 Mich. L. Rev. 1 (2009-2010),101,4,21,"Procedure, Practice and Procedure, Civil Rights",9686.0
The Law School Critique in Historical Perspective [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Washington and Lee Law Review, Vol. 69, Issue 4 (Fall 2012), pp. 1949-2066",69 Wash. & Lee L. Rev. 1949 (2012),64,na,29,"Education, Legal Education",9686.0
"Class Actions, Heightened Commonality, and Declining Access to Justice [article]",A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Boston University Law Review, Vol. 93, Issue 2 (March 2013), pp. 441-492",93 B.U. L. Rev. 441 (2013),60,na,21,"Class Actions, Women",9686.0
The Restrictive Ethos in Civil Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"George Washington Law Review, Vol. 78, Issue 2 (February 2010), pp. 353-373",78 Geo. Wash. L. Rev. 353 (2009-2010),53,na,23,"Civil Procedure, Procedure, Practice and Procedure, Law and Society",9686.0
Jurisdiction to Adjudicate: A Revised Analysis [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"University of Chicago Law Review, Vol. 73, Issue 2 (Spring 2006), pp. 617-672",73 U. Chi. L. Rev. 617 (2006),52,na,22,Jurisdiction,9686.0
Iqbal and the Slide toward Restrictive Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 185-202",14 Lewis & Clark L. Rev. 185 (2010),48,na,9,"Procedure, Legal History, Practice and Procedure, Revolution, Defenses",9686.0
Pleading Civil Rights Claims in the Post-Conley Era [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Howard Law Journal , Vol. 52, Issue 1 (Fall 2008), pp. 99-166",52 Howard L.J. 99 (2008-2009),39,na,7,"Civil Rights, Employment Practice, Environment, Practice and Procedure, Work Environment, Plaintiffs",9686.0
Jurisdiction and the Internet: Returning to Traditional Principles to Analyze Network-Mediated Contacts [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"University of Illinois Law Review, Vol. 2006, Issue 1 (2006), pp. 71-126",2006 U. Ill. L. Rev. 71 (2006),35,6,19,"Communications Law, Internet, Jurisdiction, Arts, Contracts, Practice and Procedure",9686.0
Due Process and Punitive Damages: The Error of Federal Excessiveness Jurisprudence [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Southern California Law Review, Vol. 79, Issue 5 (July 2006), pp. 1085-1154",79 S. Cal. L. Rev. 1085 (2005-2006),34,na,4,"Constitutional Law, Damages, Due Process, Jurisprudence, Punitive Damages, Remedies, Automobile Insurance, Insurance, Plaintiffs",9686.0
Pleading and Access to Civil Justice: A Response to Twiqbal Apologists [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"UCLA Law Review, Vol. 60, Issue 6 (August 2013), pp. 1710-1739",60 UCLA L. Rev. 1710 (2012-2013),22,na,14,"Practice and Procedure, Supreme Court of the United States",9686.0
The Preservation Obligation: Regulating and Sanctioning Pre-Litigation Spoliation in Federal Court [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Fordham Law Review, Vol. 79, Issue 5 (April 2011), pp. 2005-2034",79 Fordham L. Rev. 2005 (2010-2011),18,na,13,"Agency, Courts, Federal Courts, Discovery, Practice and Procedure, Science and Technology",9686.0
