,Cluster #,100 Clusters: ,200 Clusters: ,300 Clusters: ,400 Clusters: ,500 Clusters: ,600 Clusters: ,700 Clusters: ,800 Clusters: ,900 Clusters: 
0,0,"['Recycling', 'European Commission', 'Fishing', 'Patents', 'Toxic Substances', 'Consignment', 'International Court of Justice', 'Professional Sports', 'Animal Welfare', 'Scientific Evidence', 'Curfew', 'Equal Employment', 'Price Fixing', 'Due Process of Law', 'Solar Energy', 'Restraint of Trade', 'European Communities', 'Freedom of Religion', 'Advisory Opinions', 'Food and Drug', 'Soccer', 'Penology', 'Aircraft', 'Declaratory Judgments', 'Groundwater', 'Diplomacy', 'Remediation', 'European Court of Human Rights', 'Insanity', 'Restorative Justice', 'Administrative Procedure', 'Life Insurance', 'International Disputes', 'Abandonment', 'Trademarks', 'State Action', 'Precedents', 'Annexation', 'Judicial Review', 'Courts', 'Judgments', 'Natural Resources Law', 'World Trade Organization']","['Urban Development', 'Growth Management', 'Eminent Domain', 'Right to Farm', 'Videotapes', 'Fees', 'Affordable Housing', 'Environmental Justice', 'Real Estate', 'Legal Representation', 'Economic Development']",['Farmland'],"['Punitive Damages', 'Slavery', 'Procurement', 'Medical Malpractice', 'Public Law', 'United Nations', 'Hermeneutics', 'Secured Transactions', 'Criminal Law', 'Alimony', 'Merit Selection', 'Personal Property', 'Economics', 'Incorporation', 'Statutory Construction']",['Sex Crimes'],['Sovereign Immunity'],"['Human Trafficking', 'Shield Laws', 'Child Pornography']","['Military Tribunals', 'Holocaust', 'War Crimes', 'Refugees', 'Admiralty Law']",['Colleges and Universities']
1,1,['Semantics'],['Semantics'],['Letters of Credit'],['Letters of Credit'],['Letters of Credit'],['Letters of Credit'],['Letters of Credit'],['Letters of Credit'],['Advance Directives']
2,2,['Infants'],['Letters of Credit'],"['Deceit', 'Administrative Law Judges', 'Cuba', 'Citizen Suit', 'Bad Faith', 'Clemency', 'Strict Liability', 'Voting', 'Structured Settlements', 'Statistics', 'Causation', 'Home Rule', 'Freedom of Religion', 'Globalization', 'Guardians', 'Penology', 'Insanity', 'Administrative Procedure', 'Life Insurance', 'State Action']",['Advance Directives'],['Advance Directives'],['Vessels'],['Advance Directives'],['Advance Directives'],['Pleading and Proof Of']
3,3,['Refunds'],['Poverty Law'],['Semantics'],['Semantics'],['Pleading and Proof Of'],['Advance Directives'],['Pleading and Proof Of'],['Political Activity'],['Vessels']
4,4,['Constitutional Conventions'],['Lotteries'],['Advance Directives'],['Vessels'],['Vessels'],['Pleading and Proof Of'],['Political Activity'],['Pleading and Proof Of'],['Pesticides']
5,5,['Birds'],['Impeachment'],['Contributory Negligence'],['Contributory Negligence'],['Semantics'],['Foreign Countries'],['Vessels'],['Vessels'],['Semantics']
6,6,['Bibliographies'],['Civil Commitment'],['Poverty Law'],['Impeachment'],['Poverty Law'],['Semantics'],['Semantics'],['Pesticides'],['Letters of Credit']
7,7,"['Radiation', 'Atomic Energy Law']",['Contributory Negligence'],['Language Policy'],['Poverty Law'],"['Warranties', 'Technology']",['Poverty Law'],['Pesticides'],['Semantics'],['Political Activity']
8,8,['Native Americans'],['Language Policy'],['Impeachment'],['Joint Venture'],"['Cy Pres', 'Animal Law', 'Philanthropy', 'Estate Planning']",['Contributory Negligence'],['Lotteries'],['Spousal Support'],['Foreign Countries']
9,9,['Duty to Rescue'],['Sports Facilities'],['Renunciation'],['Alcoholism'],['Language Policy'],['Political Activity'],['Nullity'],['Foreign Countries'],['Imprisonment']
10,10,['Sports Facilities'],"['Students', 'Concessions', 'Unions', 'Medical Ethics', 'Elections', 'Racial Discrimination', 'Blood', 'Relatives', 'Advance Directives', 'Alcoholism', 'Churches', 'Sex', 'Costs', 'Initiative and Referendum', 'Spousal Support', 'Possession', 'Immunity', 'Foreign Investment', 'Moral Rights of Artists', 'Unauthorized Practice of Law', 'Cooperatives', 'Invasion of Privacy', 'Arts', 'International Arbitration', 'Public Finance', 'Elder Law', 'Duty of Care', 'Plaintiffs', 'Nullity', 'Judicial Conduct', 'Development Agreements', 'Equal Protection', 'Physicians', 'International Relations', 'Injunctions', 'Freedom of Speech', 'Internet', 'Unemployment', 'Thirteenth Amendment', 'Annulment', 'Shelters', 'Good Samaritans', 'Soft Law', 'Medicaid', 'Children', 'Vessels', 'Foreign Athletes', 'Maintenance', 'Medical Jurisprudence', 'Rebates', 'Consumer Protection Law', 'Compensation', 'Legal Profession', 'Democracy', 'Property Law', 'Commerce Clause', 'Ecology', 'Maritime Law', 'Labor Law', 'Judicial Process', ""Patients' Rights"", 'Capital Gains', 'Defamation', 'Standing', 'Homes', 'Small Businesses', 'Torts', 'Federal Trade Commission', 'Statutory Interpretation', 'Forfeiture', 'Subsidies', 'Emigration and Immigration', 'Sovereign Immunity', 'Obscenity', 'Jurisdiction', 'Migrant Workers', 'Adverse Possession', 'Right of Privacy', 'Indictments', 'Public Interest Law', 'Electronic Commerce', 'Transportation Law', 'Administrative Law', 'Military Tribunals', 'Corporate Officers', 'Conscientious Objectors', 'Victims', 'Marital Property', 'Commerce', 'Model Rules of Professional Conduct', 'Public Accommodations', 'Domestic Relations', 'Banking', 'Health Insurance', 'Redistricting', 'Youth Sports', 'Legislation', 'Health', 'Lumber', 'Judiciary', 'Privatization', 'Hospitals', 'Procurement', 'Truth in Lending', 'Health Law', 'Clinical Trials', 'Interest Rates', 'Judges', 'Commercial Speech', 'Punishment', 'Violence', 'Pledges', 'Security Interests', 'Products Liability Law', 'Curriculum', 'Gangs', 'Plea Bargaining', 'Investigations', 'Murder', 'Mass Media', 'Criminal Statistics', 'Military Occupation', 'Federalism', 'Waste Disposal', 'Treble Damages', 'Health Maintenance Organizations', 'Theft', 'Risk Management', 'Fire Insurance', 'Golf', 'Interstate Compacts', 'Tax Incentives', 'Neutrality', 'Rules of Professional Conduct', 'Roman Law', 'Domicile', 'Damages', 'Local Government', 'Third Parties', 'Identification', 'Euthanasia', 'Housing Law', 'Tort Claims', 'Law of the Sea', 'Same-Sex Marriage', 'International Criminal Court', 'Libel', 'Informed Consent', 'Class Actions', 'Laches', 'Yk', 'Proof', 'Strikes', 'Malpractice', 'Charter Schools', 'Corporations: Foreign', 'Jury', 'Indian Law', 'Sex Discrimination', 'Terrorism', 'Jr', 'Unfair Trade Practices', 'Bankruptcy Law', 'Racial Profiling', 'Regulation', 'Public Policy', 'Civil Rights', 'E-Commerce', 'Binding Arbitration', 'Bonds', 'Misdemeanors', 'First Amendment', 'Prisoners', 'International Claims', 'Gay Men and Lesbians', 'Taxation-State and Local', 'Drugs', 'Collective Bargaining', 'Statutes of Repose', 'Teachers', ""Veterans' Law"", 'Mortgages', 'Nuclear Waste', 'Sixth Amendment', 'Mental Health', 'Marital Rape', 'Interest', 'Vicarious Liability', 'Corporations', 'Social Media', 'Evidence', 'Equity', 'Nonprofit Organizations', 'Non-Governmental Organizations (Ngos)', 'School Districts', 'Trials', 'Petroleum', 'Defendants', 'Human Rights Law', 'Conflict of Laws', 'Appellate Review', 'Industrial and Intellectual Property', 'Boycotts', 'Choice of Law', 'War Powers', 'Uniform Commercial Code', 'Boundaries', 'Restitution', 'Copyright', 'Passports', 'False Claims', 'Desegregation', 'Military Law', 'Court Opinions', 'Sociological Jurisprudence', 'Civil War', 'Bankruptcy', 'Community Property', 'Advertising', 'Immigration Law', 'Insurance Law', ""Workers' Compensation Law"", 'Religious Discrimination', 'Lobbying', 'Politics', 'Property', 'Intellectual Property Law', 'Social Justice', 'Environment', 'Congress', 'Price Discrimination', 'Plastic', 'Broadcasting', 'Contracts', 'Aiding and Abetting', 'Bills', 'Budgets', 'Literacy', 'Legal Systems', 'Immigrants', 'Legal Services', 'Futures', 'Food and Drug Law', 'Garbage', 'International Labor Law', 'Law Reform', 'Negligence', 'Holidays', 'American Indians', 'Treaties', 'Firearms', 'Commercial Law', 'Intercollegiate Athletics', 'Sanctions', 'Baseball', 'Employment Practice', 'Administration of Justice', 'Divorce', 'Professional Ethics', 'Notice', 'Legal Analysis and Writing', 'Scientific Research', 'Interpreters', 'Industry', 'Sports', 'Ballots', 'Securities Law', 'Attainder', 'Prescription', 'Liability', 'Tenth Amendment', 'Military Personnel', 'National Security', 'International Organization', 'Permits', 'Commitment', 'Standard of Care', 'Forum Non Conveniens', 'Ethics', 'Ninth Amendment', 'Term Limits', 'Legal Positivism', 'Research', 'Fourteenth Amendment', 'Public Employees', 'Commercial Arbitration', 'Legal Writing', 'Police', 'Labor', 'Crimes', 'Suicide', 'Full Faith and Credit', 'Air Law and Aviation', 'Athletics', 'Banking and Finance', 'Diplomatic Protection', 'Income Taxation', 'Trade Unions', 'Refugees', 'Independent Contractors', 'Plain Language', 'Medicare', ""Attorneys' Fees"", 'Citizenship', 'Retirement', 'Sex Offenders', 'State Agencies', 'President/Executive Department', 'Public Education', 'Tort Reform', 'Capacity', 'Foreign Ownership', 'Eviction', 'Age Discrimination', 'Academic Freedom', 'Public Health', 'Compensatory Damages', 'Statutory Rape', 'Schools', 'Appeals', 'Revolution', 'Parents and Children', 'African Union', 'Constitutional Courts', 'Civil Service', 'Legislative Bodies', 'Legal Ethics', 'Taxation-Federal', 'Race and Ethnicity', 'Subcontractors', 'Contractors', 'Corporate Taxation', 'Railroads', 'Psychiatry and Psychology', 'Documents', 'Juveniles', 'History', 'Persons', 'Research and Development', 'Social Security', 'Health Law and Policy', 'Second Amendment', 'Industrial Design', 'Criminal Act', 'Insurance Agents', 'Taxation-Federal Income', 'Mixed Legal Systems', 'Taxation: International', 'Agency', 'Recusal', 'Employment', 'Extradition', 'Developing Countries', 'War', 'Gambling', 'General', 'Education', 'Discrimination', 'Partition', 'Alimony', 'Federal Courts', 'Anthropology', 'Legal Aid', 'Real Property', 'Reclamation', 'Successor Liability', 'Interest Arbitration', 'Hanging', 'Veterans', 'Jurisprudence', 'Public Housing', 'Taxation', 'Sales', 'State Government', 'International Trade', 'Liberty', 'Science and Technology', 'Social Welfare', 'Government', 'Graduation', 'Consent', 'Collateral Source Rule', 'Israel', 'Arbitration', 'Right to Trial', 'Organ Donation', 'Constitutional Law', 'Money', 'Attorneys General', 'Generally', 'Dogs', 'Continuing Legal Education', 'Public Utilities', 'Exports and Imports', 'Lynching', 'Privileges and Immunities', 'Residency', 'Attorneys', 'Affirmative Action', 'Estoppel', 'Tuition', 'Pollution', 'Due Process', 'Literature', 'Trial by Jury', 'Law Students', 'Discrimination in Athletics', 'Vouchers', 'Dispute Resolution', 'Legal Education', 'Tobacco', 'Loans', 'Intangible Property', 'Socialism', 'Comparative Law', 'Benefit Corporations', 'Cohabitation', 'States', 'Property Tax', 'Age', 'International Law', 'Common-Law Marriage', 'Segregation', 'Housing', 'Personal Property', 'Child Labor', 'World Politics', 'Law and Society', 'Trade Names', 'Economics', 'Martin Luther King', 'Obligations', 'Debt', 'Statutes', 'Biography', 'Rule of Law', 'Incorporation', 'Accidents', 'Social Welfare Law', 'New Deal']",['Birds'],['Stalking'],['Revocation'],['Plea Bargaining'],['Poverty Law'],['Public Contracts'],['Public Contracts']
11,11,['Restaurants'],['Tax Liens'],['Executors'],['Political Crimes'],['Contributory Negligence'],['Impeachment'],['Voir Dire'],['Unemployment'],"['Products Liability Law', 'Mortgages', 'Segregation']"
12,12,['Public Administration'],['Constitutional Conventions'],['Radiation'],['Revocation'],['Space Law'],['Stalking'],['Foreign Countries'],['News Media'],['Spousal Support']
13,13,['Foreign Currency'],['Foreign'],['Continental Shelf'],['Uniform Laws'],['Alcoholism'],['Medical Ethics'],"[""Patients' Rights""]",['Voir Dire'],['Impeachment']
14,14,['Overtime'],['Radiation'],['Lotteries'],['Growth Management'],['Stalking'],['Minority Shareholders'],['Fire Insurance'],['Horse Racing'],['Unemployment']
15,15,['Health Care Industry'],['Photographs'],['Relatives'],['Relatives'],['Renunciation'],['Preventive Detention'],['Plea Bargaining'],['Medical Research'],['News Media']
16,16,['Female Genital Mutilation'],['Joint Venture'],['Grievances'],['Civil Commitment'],['Impeachment'],['Fire Insurance'],['Contributory Negligence'],['Foreign Athletes'],['Voir Dire']
17,17,['Joint Venture'],['Textbooks'],['Public Administration'],['Lotteries'],['Overtime'],['Initiative and Referendum'],['Initiative and Referendum'],['Renunciation'],['Stem Cell Research']
18,18,['Human Tissue'],['Remediation'],['Medical Research'],['Radiation'],['Foreign Countries'],['Tax Credits'],['Concessions'],['Poverty Law'],['Mentally Retarded']
19,19,['Medical Research'],['Public Administration'],['Joint Custody'],['Native Americans'],['Human Tissue'],['Refunds'],['Medical Ethics'],['Contributory Negligence'],['Contributory Negligence']
20,20,['Continental Shelf'],['Overtime'],['Sports Facilities'],['Symbolic Speech'],['Photographs'],['Lotteries'],['Adverse Possession'],['Plea Bargaining'],['Foreign Athletes']
21,21,['Solid Waste'],['Birds'],['Photographs'],['Renunciation'],['Life Insurance'],['Medical Research'],['Renunciation'],['Medical Ethics'],['Initiative and Referendum']
22,22,['Foreign'],['Continental Shelf'],['Criminal Investigation'],['Continental Shelf'],['Tax Liens'],['Alcoholism'],['Cy Pres'],['Adverse Possession'],['Obscenity']
23,23,['Criminal Records'],['Correctional Institutions'],['Civil Commitment'],['Photographs'],['Refunds'],['Three Strikes'],['Stalking'],['Language Policy'],['Tortfeasors']
24,24,['Consultants'],['Refunds'],['Native Americans'],['Territorial Waters'],['Civil Commitment'],['Hockey'],['Impeachment'],['Endangerment'],['Poverty Law']
25,25,['Ethanol'],['Bibliographies'],['Remediation'],['Language Policy'],['Medical Research'],['Remediation'],['Spousal Support'],['Chemicals'],['Fire Insurance']
26,26,['Life Without Parole'],['Criminal Records'],['Health Care Industry'],['Textbooks'],['Horse Racing'],['Radiation'],['Alcoholism'],['Fire Insurance'],['Homes']
