,0,1,2,3,4,5,6,7,8,9,10
0,International Law,Jurisprudence,Military,War and Peace,Remedies,Torts,Criminal Law and Procedure,,,,
1,Government,Property,Liberty,Neutrality,Religion,,,,,,
2,Rape,Victims,Sexuality and the Law,,,,,,,,
3,Democracy,Jurisprudence,Sentencing,Punishment,,,,,,,
4,Criminal Law and Procedure,Jurisprudence,Sentencing,,,,,,,,
5,Jurisprudence,Psychiatry and Psychology,Administrative Agencies,Air and Space Law,Criminal Law and Procedure,,,,,,
6,Law and Society,Criminal Law and Procedure,State and Local Government Law,,,,,,,,
7,Jurisprudence,Criminal Law and Procedure,Law Enforcement and Corrections,,,,,,,,
8,Imprisonment,Life Without Parole,Parole,Eighth Amendment,,,,,,,
9,Criminal Law and Procedure,Jurisprudence,Sentencing,Evidence,Fourteenth Amendment,Constitutional Law,,,,,
10,Criminal Law and Procedure,Jurisprudence,Law and Society,,,,,,,,
11,President/Executive Department,Age,Constitutional Law,Jurisprudence,,,,,,,
12,Criminal Law and Procedure,Law Enforcement,Race and Ethnicity,Constitutional Law,,,,,,,
13,Criminal Law and Procedure,Jurisprudence,,,,,,,,,
14,Sovereignty,Jurisprudence,Legal History,Reception of Law,,,,,,,
15,Covenants,Sovereignty,Police,Torture,,,,,,,
16,Constitutional Law,Discrimination,Criminal Law,,,,,,,,
17,Jurisprudence,Law Enforcement and Corrections,Criminal Law and Procedure,,,,,,,,
18,Legal History,Candidates,Criminal Law and Procedure,Criminals,Felons,Prisoners,Public Officials,Felonies,Felony Murder,,
19,Law Enforcement,Criminal Law and Procedure,Psychiatry and Psychology,,,,,,,,
20,Administrative Agencies,Costs,Constitutional Law,Politics,Separation,Separation of Powers,Compensation,Government,,,
21,Administrative Agencies,President/Executive Department,War,,,,,,,,
22,Constitutional Law,Jurisprudence,Separation,Separation of Powers,States,Courts,,,,,
23,Discrimination,Sexual Orientation,Judges,Administrative Agencies,States,,,,,,
24,Age,Common Law,Constitutional Law,Takings,Law and Society,,,,,,
25,Industry,Judicial Review,Public Utilities Law,,,,,,,,
26,Administrative Agencies,Constitutional Law,Takings,Communications Law,Costs,Trade Regulation,Law and Society,,,,
27,Wind Energy,Federalism,Renewable Energy,Interest,,,,,,,
28,Interest,Federalism,Renewable Energy,Environment,,,,,,,
29,Administrative Procedure,Interest,Procedure,Administrative Agencies,Settlements,States,,,,,
30,Procedure,Administrative Agencies,,,,,,,,,
31,Economics,Electricity,Industry,Environment,,,,,,,
32,Constitutional Law,Takings,Law and Society,Communications Law,Costs,Trade Regulation,,,,,
33,Constitutions,Governors,Separation,Separation of Powers,Federalism,Jurisdiction,European Union,States,,,
34,Constitutional Law,Environment,Administrative Agencies,Environmental Protection,States,,,,,,
35,Damages,Remedies,Deregulation,Transportation Law,,,,,,,
36,Deregulation,Federalism,Courts,Environment,Jurisdiction,Jurisprudence,Antitrust,Industry,Mergers,,
37,Climate Change,Legislation,Clean Energy,Economics,Electricity,,,,,,
38,International Law,Environmental Protection,Agriculture,,,,,,,,
39,Federalism,Constitutional Law,States,,,,,,,,
40,Advertising,Legal Profession,Professional Ethics,Legal Services,,,,,,,
41,Clean Energy,Jurisdiction,Trade Regulation,Climate Change,Revolution,,,,,,
42,Age,Common Law,Costs,Economics,Electricity,Commercial Code,Commercial Law,Environment,Sales,Uniform Commercial Code,
43,Procedure,Revolution,Administrative Agencies,Administrative Procedure,,,,,,,
44,Commerce,Commerce Clause,Constitutional Law,Electricity,Federalism,Oil Gas and Mineral,Transportation,,,,
45,Administrative Law Judges,Administrative Procedure,Judges,Jurisdiction,Administrative Agencies,Judicial Review,Separation,Separation of Powers,,,
46,Judges,Law and Society,,,,,,,,,
47,Administrative Agencies,Administrative Procedure,Procedure,Revolution,,,,,,,
48,Courts,Industry,Wind Energy,,,,,,,,
49,Public Law,Antitrust,Federalism,Industry,,,,,,,
50,Antitrust,Federalism,Public Law,Deregulation,,,,,,,
51,Costs,Electricity,Public Utilities Law,Utilities,Clean Energy,Environment,Jurisdiction,Renewable Energy,Deregulation,Industry,
52,Economics,Electricity,Industry,Investment,Renewable Energy,Environment,,,,,
53,State and Local Government Law,Martial Law,Governors,,,,,,,,
54,Constitutional Law,Federalism,,,,,,,,,
55,Constitutions,Courts,Fourth Amendment,Constitutional Law,,,,,,,
56,Banking,Costs,Economics,Industry,Health,,,,,,
57,Criminal Law and Procedure,Juveniles,Criminals,Databases,Legal Profession,,,,,,
58,Antitrust,Judges,Judicial Review,Trade Regulation,Federalism,Jurisdiction,State Action,,,,
59,Administrative Law Judges,Administrative Procedure,Agency,Judicial Review,Separation,Separation of Powers,Administrative Agencies,,,,
60,Clean Energy,Jurisdiction,Trade Regulation,Constitutional Law,State and Local Government Law,,,,,,
61,Jurisprudence,Constitutions,Legal Analysis and Writing,State and Local Government Law,,,,,,,
62,Administrative Procedure,Procedure,Revolution,Administrative Agencies,,,,,,,
63,Politics,Natural Gas,Oil Gas and Mineral,,,,,,,,
64,Regulation,Administrative Agencies,Jurisdiction,Electricity,,,,,,,
65,Administrative Procedure,Politics,Procedure,Rules and Regulations,Administrative Agencies,State and Local Government Law,General,Technology,,,
66,Constitutional Law,Federalism,Oil Gas and Mineral,Transportation,Legislation,Takings,Takings Clause,Commerce,Commerce Clause,,
67,Administrative Agencies,Incorporation,Constitutional Law,Constitutions,State and Local Government Law,,,,,,
68,Federalism,States,Literature,Comparative Law,Constitutional Law,,,,,,
69,Administrative Agencies,President/Executive Department,Health,Public Health,,,,,,,
70,Administrative Agencies,Democracy,Judicial Review,,,,,,,,
71,General,Rule of Law,Administrative Agencies,President/Executive Department,Constitutional Law,Government,Judges,,,,
72,States,Biography,Judges,Politics,,,,,,,
73,Antitrust,Industry,Consumer Protection Law,Contracts,Courts,Health Law,Administrative Agencies,Insurance,,,
74,Interstate Compacts,Separation,Separation of Powers,Eleventh Amendment,Gaming,Government,American Indians,State and Local Government Law,,,
75,Regulation,Climate Change,Commercial Law,Constitutional Law,,,,,,,
76,Regulation,Taxation,Comparative Law,,,,,,,,
77,Immigration Law,Juveniles,Administrative Agencies,Antitrust,,,,,,,
78,Environment,International Law,Land Use Planning,,,,,,,,
79,Separation,Separation of Powers,States,Administrative Agencies,Constitutional Law,,,,,,
