,First Name,Last Name,School,Fuzz 1,Fuzz 2,Fuzz 3,Name 1,Name 2,Name 3,School 1,School 2,School 3
0,Jasmine C.,Abdel-Khalik,Mo.-Kan. City ,93,93,51,Jasmine Abdel-Khalik,Jasmine Abdel-Khalik,Jamie Abrams,University of Missouri-Kansas City School of Law,University of Missouri-Kansas City School of Law,"University of Louisville, Louis D. Brandeis School of Law"
1,Daniel,Abebe,Univ. of Chicago ,100,72,70,Daniel Abebe,Daniel Farber,Daniel Cole,"The University of Chicago, The Law School","University of California, Berkeley School of Law",Indiana University Maurer School of Law
2,Alice G.,Abreu,Temple ,88,55,52,Alice Abreu,Alice Noble-Allgire,Michael Green,"Temple University, James E. Beasley School of Law",Southern Illinois University School of Law,William & Mary Law School
3,William J.,Aceves,Cal. Western ,71,71,69,William McGeveran,William McGeveran,William Rhee,University of Minnesota Law School,University of Minnesota Law School,West Virginia University College of Law
4,E. Tendayi,Achiume,U.C.L.A. ,50,49,48,Wendy Bach,A. Benjamin Spencer,G. Edward White,University of Tennessee College of Law,University of Virginia School of Law,University of Virginia School of Law
5,Edward S.,Adams,Minnesota ,89,89,64,Edward Adams,Edward Adams,Edward Swaine,University of Minnesota Law School,University of Minnesota Law School,The George Washington University Law School
6,Adeno,Addis,Tulane ,100,56,55,Adeno Addis,Adrienne Davis,Andrew Sims,Tulane University Law School,Washington University in St. Louis School of Law,Fordham University School of Law
7,Afra,Afsharipour,UC Davis,100,53,52,Afra Afsharipour,Andrea Charlow,Ari Afilalo,"University of California, Davis, School of Law",Drake University Law School,Rutgers Law School
8,Robert B.,Ahdieh,Texas A&M ,90,71,67,Robert Ahdieh,Robert Adler,Robert Bush,Texas A&M University School of Law,"University of Utah, S. J. Quinney College of Law",Maurice A. Deane School of Law at Hofstra University
9,Nadia,Ahmad,Barry ,61,61,56,Nadav Shoked,Nadav Shoked,Randall Thomas,Northwestern University Pritzker School of Law,Northwestern University Pritzker School of Law,Vanderbilt University Law School
10,Aziza,Ahmed,Northeastern ,55,55,53,Anita Allen,Aliza Cover,Aziz Huq,University of Pennsylvania Law School,University of Idaho College of Law,"The University of Chicago, The Law School"
11,Susan Musarrat,Akram,Boston Univ. ,62,58,58,Susan Stuart,Susan Sturm,Susan Haack,Valparaiso University Law School,Columbia Law School,University of Miami School of Law
12,Richard,Albert,Univ. of Texas ,100,77,76,Richard Albert,Richard Dole,Richard Stewart,The University of Texas School of Law,University of Houston Law Center,New York University School of Law
13,Raquel E.,Aldana,UC Davis,90,55,53,Raquel Aldana,Samuel Jordan,Lauren Edelman,"University of California, Davis, School of Law",Saint Louis University School of Law,"University of California, Berkeley School of Law"
14,Mark C.,Alexander,Villanova ,90,71,69,Mark Alexander,Lisa Alexander,Lawrence Alexander,Villanova University Charles Widger School of Law,Texas A&M University School of Law,University of San Diego School of Law
15,Alena M.,Allen,Memphis ,72,62,62,Anita Allen,Ronald Allen,Ronald Allen,University of Pennsylvania Law School,Northwestern University Pritzker School of Law,Northwestern University Pritzker School of Law
16,Alicia,Alvarez,Michigan ,65,64,62,Alicia Plerhoples,Alice Abreu,Jose Alvarez,Georgetown University Law Center,"Temple University, James E. Beasley School of Law",New York University School of Law
17,Jose E.,Alvarez,New York Univ ,89,69,57,Jose Alvarez,Jose Juarez,Joseph Harroz,New York University School of Law,University of Denver Sturm College of Law,University of Oklahoma College of Law
18,Cheryl E.,Amana-Burris,North Car. Central ,69,59,48,Cheryl Harris,Cheryl Anderson,Troy Harris,"University of California, Los Angeles School of Law",Southern Illinois University School of Law,University of Detroit Mercy School of Law
19,Vikram D.,Amar,Illinois ,88,56,50,Vikram Amar,Miriam Baer,Mira Ganor,University of Illinois College of Law,Brooklyn Law School,The University of Texas School of Law
20,Rachel J.,Anderson,Nevada Las Vegas,91,73,73,Rachel Anderson,Horace Anderson,Cheryl Anderson,"University of Nevada, Las Vegas, William S. Boyd School of Law",Pace University Elisabeth Haub School of Law,Southern Illinois University School of Law
21,Troy J. H.,Andrade,Hawaii ,50,50,50,Thomas Andrews,Terry Anderson,Terry Anderson,University of Washington School of Law,Creighton University School of Law,Creighton University School of Law
22,Ruby,Andrew,Southern Univ. ,61,61,57,Roy Anderson,Lori Andrews,Andrew Kim,"Southern Methodist University, Dedman School of Law","Chicago-Kent College of Law, Illinois Institute of Technology",Syracuse University College of Law
23,Albertina,Antognini,Univ. of Ariz. ,62,60,59,Albert Lin,Albert Choi,Denise Antolini,"University of California, Davis, School of Law",University of Virginia School of Law,"University of Hawaii, William S. Richardson School of Law"
24,Roberto P.,Aponte-Toro,Puerto Rico ,65,65,63,Robert Anderson,Robert Anderson,Robert Peroni,University of Washington School of Law,University of Washington School of Law,The University of Texas School of Law
25,William D.,Araiza,Brooklyn ,90,69,67,William Araiza,William Drennan,William Dorsaneo,Brooklyn Law School,Southern Illinois University School of Law,"Southern Methodist University, Dedman School of Law"
26,Pauline M.,Aranas,Southern Cal. ,58,57,57,Paula Franzese,Pauline Kim,Paul Berman,Seton Hall University School of Law,Washington University in St. Louis School of Law,The George Washington University Law School
27,Cindy I. T.,Archer,Loyola Los Angeles,47,47,47,Wendy Parker,Linda Fisher,Bradley Areheart,Wake Forest University School of Law,Seton Hall University School of Law,University of Tennessee College of Law
28,Fabio Jr.,Arcila,Touro,50,47,47,Frank Garcia,Franco Ferrari,Calvin Morrill,Boston College Law School,New York University School of Law,"University of California, Berkeley School of Law"
29,Paula,Arias,Miami ,72,67,64,Paula Franzese,Paul Williams,Paul Campos,Seton Hall University School of Law,"American University, Washington College of Law",University of Colorado Law School
30,Enrique,Armijo,Elon ,52,50,48,Andrei Marmor,Maureen Armour,Eric Muller,Cornell Law School,"Southern Methodist University, Dedman School of Law",University of North Carolina School of Law
31,Andrea,Armstrong,Loyola New Orl.,67,67,67,Andrea Lyon,Andrea Johnson,Andrea Carroll,Valparaiso University Law School,University of Akron School of Law,"Louisiana State University, Paul M. Hebert Law Center"
32,Bret,Asbury,Drexel ,100,62,57,Bret Asbury,Benedict Kingsbury,Bret Wells,Drexel University Thomas R. Kline School of Law,New York University School of Law,University of Houston Law Center
33,Barbara L.,Atwell,Pace ,90,67,67,Barbara Atwell,Barbara Welke,Barbara Spellman,Pace University Elisabeth Haub School of Law,University of Minnesota Law School,University of Virginia School of Law
34,Charles,Auffant,Rutgers ,71,71,69,Charles Sullivan,Charles Adams,Charles Rounds,Seton Hall University School of Law,The University of Tulsa College of Law,Suffolk University Law School
35,Luis A.,Aviles-Pagan,Puerto Rico ,55,55,53,Louis Raveson,Louis Raveson,Lisa Alexander,Rutgers Law School,Rutgers Law School,Texas A&M University School of Law
36,Sahar,Aziz,Rutgers ,100,100,55,Sahar Aziz,Sahar Aziz,Hadar Aviram,Rutgers Law School,Rutgers Law School,"University of California, Hastings College of the Law"
37,George,Bach,New Mexico ,76,72,70,George Hay,George Bermann,George Cohen,Cornell Law School,Columbia Law School,University of Virginia School of Law
38,Deepa,Badrinarayana,Chapman ,100,55,50,Deepa Badrinarayana,Penelope Bryan,Katrina Wyman,Chapman University Dale E. Fowler School of Law,Whittier Law School,New York University School of Law
