,Journal,Vol,Issue,Issue Year,First Page,Last Page,Pages
0,UCLA Law Review,Vol.  41,2 (December 1993),1993,199,302,199-302
0,Stanford Law Review,Vol.  48,3 (February 1996),1996,555,632,555-632
0,University of Chicago Law Review,Vol.  63,4 (Fall 1996),1996,1707,1748,1707-1748
0,University of Chicago Law Review,Vol.  69,2 (Spring 2002),2002,495,624,495-624
0,Emory Law Journal,Vol.  43,4 (Fall 1994),1994,1311,1350,1311-1350
0,Wisconsin Law Review,Vol.  1987,1 (1987),1987,1,66,1-66
0,Boston University Law Review,Vol.  65,5 (November 1985),1985,843,922,843-922
0,Mississippi Law Journal,Vol.  72,1 (Fall 2002),2002,5,50,5-50
0,Southern California Law Review,Vol.  69,4 (May 1996),1996,1341,1388,1341-1388
0,Vanderbilt Law Review,Vol.  42,3 (April 1989),1989,725,818,725-818
0,Ohio State Journal of Criminal Law,Vol.  3,1 (Fall 2005),2005,33,74,33-74
0,University of Illinois Law Review,Vol.  1999,1 (1999),1999,91,180,91-180
0,Emory Law Journal ,Vol.  36,3 (Summer 1987),1987,817,836,817-836
0,Temple Law Review,Vol.  74,1 (Spring 2001),2001,27,58,27-58
0,Mississippi Law Journal,Vol.  73,2 (2003),2003,369,422,369-422
0,Pepperdine Law Review,Vol.  26,4 (1999),1999,835,854,835-854
0,Mississippi Law Journal ,Vol.  77,1 (Fall 2007),2007,467,506,467-506
0,Tennessee Law Review,Vol.  69,1 (Fall 2001),2001,65,96,65-96
0,Texas Tech Law Review,Vol.  39,4 (Summer 2007),2007,1143,1170,1143-1170
0,Arizona State Law Journal,Vol.  22,1 (Spring 1990),1990,13,24,13-24
0,Texas Law Review,Vol.  74,6 (May 1996),1996,1211,1216,1211-1216
0,Texas Tech Law Review,Vol.  43,1 (Fall 2010),2010,29,50,29-50
0,Syracuse Journal of International Law and Commerce,Vol.  27,2 (Summer 2000),2000,243,268,243-268
0,Ohio State Journal of Criminal Law,Vol.  10,2 (Spring 2013),2013,477,524,477-524
0,Emory Internationa Law Review,Vol.  12,2 (Spring 1998),1998,973,1020,973-1020
0,Missouri Law Review,Vol.  77,4 (Fall 2012),2012,931,1030,931-1030
0,American Criminal Law Review,Vol.  55,1 (Winter 2018),2018,37,76,37-76
0,Emory Law Journal ,Vol.  40,3 (Summer 1991),1991,875,884,875-884
0,Emory Law Journal,Vol.  54,5 (2005),2005,151,170,151-170
0,Chicago-Kent Law Review,Vol.  85,1 (2010),2010,3,22,3-22
0,Green Bag. An Entertaining Journal of Law. (Second Series),Vol.  2,4 (Summer 1999),1999,351,360,351-360
0,Green Bag. An Entertaining Journal of Law. (Second Series),Vol.  1,,,73,75,73-75
0,New York University Law Review,Vol.  65,2 (May 1990),1990,265,328,265-328
0,Cornell Law Review,Vol.  61,4,,495,540,495-540
0,New York University Law Review,Vol.  66,5 (November 1991),1991,1263,1331,1263-1331
0,Cornell Law Review,Vol.  77,6,,1512,1557,1512-1557
0,Marquette Law Review,Vol.  60,2 (1977),1977,297,350,297-350
0,Indiana Law Review,Vol.  10,4 (1977),1977,797,830,797-830
0,New York University Law Review,Vol.  57,3 (June 1982),1982,521,596,521-596
0,University of Illinois Law Review,Vol.  1988,3 (1988),1988,607,666,607-666
0,Mercer Law Review,Vol.  29,2 (Winter 1978),1978,403,436,403-436
0,Texas Law Review,Vol.  52,7 (November 1974),1974,1303,1327,1303-1327
0,Duquesne Law Review,Vol.  12,3 (Spring 1974),1974,425,464,425-464
0,Iowa Law Review,Vol.  60,1 (October 1974),1974,1,52,1-52
0,Drake Law Review,Vol.  28,2 (1978-1979),1978,221,316,221-316
0,Cornell Law Review,Vol.  83,4,,867,920,867-920
0,South Carolina Law Review,Vol.  53,4 (Summer 2002),2002,815,850,815-850
0,Duquesne Law Review,Vol.  9,3 (Spring 1971),1971,373,393,373-393
0,New York University Law Review,Vol.  55,3 (June 1980),1980,347,384,347-384
0,Michigan Law Review,Vol.  104,2 (November 2005),2005,257,290,257-290
0,New York University Law Review,Vol.  66,5 (November 1991),1991,1332,1343,1332-1343
