,Journal,Vol,Issue,Issue Year,First Page,Last Page,Pages
0,Texas Law Review,Vol.  86,7 (June 2008),2008,1837,1876,1837-1876
0,Connecticut Law Review,Vol.  32,4 (Summer 2000),2000,1247,1276,1247-1276
0,Brooklyn Law Review,Vol.  64,2 (1998),1998,681,710,681-710
0,Missouri Law Review,Vol.  65,1 (Winter 2000),2000,1,82,1-82
0,Cornell Law Review,Vol.  78,3,,470,506,470-506
0,Connecticut Law Review,Vol.  39,3 (February 2007),2007,809,896,809-896
0,Northwestern University Law Review,Vol.  104,1 (2010),2010,233,252,233-252
0,Boston College Law Review,Vol.  52,1 (January 2011),2011,267,288,267-288
0,Tulane Law Review,Vol.  76,3 (February 2002),2002,727,782,727-782
0,Wisconsin Law Review,Vol.  2014,2 (2014),2014,289,336,289-336
0,Seton Hall Law Review,Vol.  28,2 (1997),1997,359,389,359-389
0,Theoretical Inquiries in Law,Vol.  15,2 (July 2014),2014,539,572,539-572
0,Journal of Law and Religion,Vol.  18,1 (2002 - 2003),2002,31,56,31-56
0,Health Matrix: Journal of Law-Medicine,Vol.  20,1 (2010),2010,93,144,93-144
0,"Journal of Law, Medicine and Ethics",Vol.  32,4 (Winter 2004),2004,556,564,556-564
0,Utah Law Review,Vol.  2010,4 (2010),2010,1189,1222,1189-1222
0,Yale Law & Policy Review,Vol.  23,1 (Winter 2005),2005,1,4,1-4
0,Capital University Law Review,Vol.  22,4 (Fall 1993),1993,833,838,833-838
0,Connecticut Law Review,Vol.  32,4 (Summer 2000),2000,1425,1442,1425-1442
0,William Mitchell Law Review,Vol.  36,1 (2009),2009,169,185,169-185
0,Regulation,Vol.  36,3 (Fall 2013),2013,24,27,24-27
0,Virginia Law Review,Vol.  79,1 (February 1993),1993,275,290,275-290
0,American Journal of Law & Medicine,Vol.  40,4 (2014),2014,393,415,393-415
0,Journal of Law and Religion ,Vol.  22,2 (2006-2007),2006,615,618,615-618
0,"Journal of Law, Medicine and Ethics",Vol.  32,4 Special Supplement (2004),2004,42,44,42-44
0,Boston College Law Review,Vol.  49,2 (March 2008),2008,431,494,431-494
0,Michigan Law Review ,Vol.  108,1 (October 2009),2009,1,36,1-36
0,Washington and Lee Law Review,Vol.  69,4 (Fall 2012),2012,1949,2066,1949-2066
0,Boston University Law Review,Vol.  93,2 (March 2013),2013,441,492,441-492
0,George Washington Law Review,Vol.  78,2 (February 2010),2010,353,373,353-373
0,University of Chicago Law Review,Vol.  73,2 (Spring 2006),2006,617,672,617-672
0,Lewis & Clark Law Review,Vol.  14,1 (Spring 2010),2010,185,202,185-202
0,Howard Law Journal ,Vol.  52,1 (Fall 2008),2008,99,166,99-166
0,University of Illinois Law Review,Vol.  2006,1 (2006),2006,71,126,71-126
0,Southern California Law Review,Vol.  79,5 (July 2006),2006,1085,1154,1085-1154
0,UCLA Law Review,Vol.  60,6 (August 2013),2013,1710,1739,1710-1739
0,Fordham Law Review,Vol.  79,5 (April 2011),2011,2005,2034,2005-2034
0,Denver University Law Review,Vol.  87,2 (2010),2010,325,334,325-334
0,Washington and Lee Law Review,Vol.  64,1 (Winter 2007),2007,233,296,233-296
0,Georgia Law Review,Vol.  46,1 (Fall 2011),2011,1,68,1-68
0,Review of Litigation,Vol.  34,4 (2015),2015,769,814,769-814
0,Nevada Law Journal,Vol.  15,3 (Summer 2015),2015,1113,1140,1113-1140
0,Whitter Law Review,Vol.  26,1 (Fall 2004),2004,197,[ii],197-[ii]
0,Touro Law Review,Vol.  31,1 (2014),2014,25,32,25-32
0,Army Lawyer,Vol.  2017,2 (February 2017),2017,4,17,4-17
0,UCLA Law Review,Vol.  66,3 (April 2019),2019,654,719,654-719
0,New York University Law Review,Vol.  83,5 (November 2008),2008,1420,1490,1420-1490
0,Cornell Law Review,Vol.  97,3 (March 2012),2012,433,500,433-500
0,Journal of Law & Politics,Vol.  19,4 (Fall 2003),2003,345,416,345-416
0,University of Chicago Law Review,Vol.  79,4 (Fall 2012),2012,1215,1284,1215-1284
0,Michigan Law Review,Vol.  107,5 (March 2009),2009,711,756,711-756
0,University of Chicago Law Review,Vol.  81,3 (Spring 2014),2014,851,928,851-928
0,Connecticut Law Review,Vol.  43,4 (May 2011),2011,1041,1058,1041-1058
0,Iowa Law Review,Vol.  95,5 (July 2010),2010,1401,1466,1401-1466
0,Cornell Law Review,Vol.  96,2 (January 2011),2011,203,264,203-264
0,Nebraska Law Review,Vol.  85,4 (2007),2007,960,1014,960-1014
0,Notre Dame Law Review,Vol.  89,2 (December 2013),2013,727,784,727-784
0,Cornell Journal of Law and Public Policy ,Vol.  16,2 (Spring 2007),2007,349,362,349-362
0,Minnesota Law Review,Vol.  100,2 (December 2015),2015,481,560,481-560
0,Yale Journal of Law & the Humanities,Vol.  14,2 (Summer 2002),2002,393,440,393-440
0,University of Pennsylvania Journal of Constitutional Law,Vol.  10,3 (March 2008),2008,447,498,447-498
0,Journal of Law in Society,Vol.  4,2 (Winter 2003),2003,217,274,217-274
0,Journal of Appellate Practice and Process,Vol.  12,1 (Spring 2011),2011,1,24,1-24
0,Vanderbilt Law Review,Vol.  70,2 (March 2017),2017,499,564,499-564
0,Journal of Law,Vol.  4,3 (2014),2014,361,384,361-384
0,Duke Law Journal,Vol.  68,1 (October 2018),2018,1,74,1-74
0,Duke Law Journal,Vol.  67,3 (December 2017),2017,481,556,481-556
0,Communications Lawyer,Vol.  23,1 (Spring 2005),2005,23,32,23-32
0,,,,,,,
0,Georgetown Law Journal Online,Vol.  106,,,135,150,135-150
0,Berkeley Business Law Journal,Vol.  6,1 and 2 (2009),2009,1,54,1-54
0,George Mason Law Review,Vol.  17,2 (Winter 2010),2010,483,532,483-532
0,Yale Journal on Regulation,Vol.  29,1 (Winter 2012),2012,1,44,1-44
0,California Law Review,Vol.  91,5 (October 2003),2003,1331,1374,1331-1374
0,Washington University Law Review,Vol.  90,3 (2013),2013,965,1014,965-1014
0,American Law and Economics Review,Vol.  19,2 (Fall 2017),2017,287,326,287-326
0,Journal of Empirical Legal Studies,Vol.  7,4 (2010),2010,743,785,743-785
0,Journal of Law & Economics,Vol.  58,1 (February 2015),2015,139,172,139-172
0,Michigan Law Review,Vol.  112,6 (April 2014),2014,993,1014,993-1014
0,New York University Journal of Law and Business,Vol.  10,2 (Spring 2014),2014,443,478,443-478
0,California Supreme Court Historical Society Yearbook,Vol.  4,,,95,108,95-108
0,Journal of Corporation Law,Vol.  39,4 (Summer 2014),2014,675,712,675-712
0,Journal of Corporation Law,Vol.  41,2 (Winter 2015),2015,359,392,359-392
0,Seattle University Law Review,Vol.  38,2 (Winter 2015),2015,215,254,215-254
0,New York University Journal of Law and Business,Vol.  10,2 (Spring 2014),2014,223,264,223-264
0,Journal of Empirical Legal Studies,Vol.  13,4 (2016),2016,566,566,566-566
0,Indiana Law Journal,Vol.  68,1 (Winter 1992),1992,1,58,1-58
0,Washington University Law Quarterly,Vol.  73,1 (Spring 1995),1995,1,96,1-96
0,Fordham Law Review,Vol.  73,3 (December 2004),2004,1031,1102,1031-1102
0,Ohio Staw Law Journal,Vol.  57,4 (1996),1996,1057,1162,1057-1162
0,Cornell Law Review,Vol.  74,4,,587,654,587-654
0,Washington and Lee Law Review,Vol.  56,1 (1999),1999,33,110,33-110
0,Washington University Law Review,Vol.  86,3 (2009),2009,609,664,609-664
0,Minnesota Law Review,Vol.  95,6 (2011),2011,2180,2253,2180-2253
0,Oregon Law Review,Vol.  79,3 (Fall 2000),2000,527,574,527-574
0,Cardozo Law Review,Vol.  27,6 (April 2006),2006,2685,2712,2685-2712
0,Hastings Law Journal,Vol.  45,2 (January 1994),1994,175,248,175-248
0,Florida State University Law Review,Vol.  26,4 (Summer 1999),1999,913,958,913-958
0,Southern California Law Review,Vol.  76,,,1331,1370,1331-1370
0,Florida State University Law Review,Vol.  32,2 (Winter 2005),2005,425,442,425-442
0,Florida State University Law Review,Vol.  29,1 (Fall 2001),2001,109,188,109-188
0,Michigan Law Review,Vol.  111,8 (June 2013),2013,1423,1480,1423-1480
0,Washington University Law Review,Vol.  91,4 (2014),2014,797,866,797-866
0,University of Illinois Law Review,Vol.  2008,2 (2008),2008,557,598,557-598
0,"Real Property, Trust and Estate Law Journal",Vol.  46,2,,325,376,325-376
0,Vanderbilt Law Review,Vol.  67,6 (November 2014),2014,1871,1930,1871-1930
0,Southern California Law Review,Vol.  76,3 (March 2003),2003,599,638,599-638
0,University of Illinois Law Review,Vol.  2018,1 (2018),2018,235,280,235-280
0,Washington and Lee Law Review,Vol.  74,1 (Winter 2017),2017,285,368,285-368
0,"Real Property, Trust and Estate Law Journal",Vol.  50,2 (Fall 2015),2015,175,266,175-266
0,University of Queensland Law Journal,Vol.  35,1 (2016),2016,127,134,127-134
0,Saint Louis University Law Journal,Vol.  58,3 (Spring 2014),2014,681,688,681-688
0,"Real Property, Trust and Estate Law Journal",Vol.  52,3 (Winter 2018),2018,339,368,339-368
0,GP Solo,Vol.  34,2 (March/April 2017),2017,56,57,56-57
0,Michigan Law Review,Vol.  80,6 (May 1982),1982,1179,1269,1179-1269
0,Northwestern University Law Review,Vol.  105,1 (Winter 2011),2011,261,302,261-302
0,UCLA Law Review ,Vol.  56,1 (October 2008),2008,27,58,27-58
0,U.C. Davis Law Review,Vol.  42,4 (April 2009),2009,1059,1106,1059-1106
0,Virginia Law Review,Vol.  86,6 (September 2000),2000,1249,1302,1249-1302
0,Arizona State Law Journal,Vol.  40,1 (Spring 2008),2008,47,84,47-84
0,Iowa Law Review,Vol.  96,4 (May 2011),2011,1125,1176,1125-1176
0,Vanderbilt Law Review,Vol.  63,2 (March 2010),2010,307,360,307-360
0,Connecticut Law Review,Vol.  40,1 (November 2007),2007,85,124,85-124
0,Indiana Law Journal,Vol.  80,3 (Summer 2005),2005,571,604,571-604
0,Missouri Law Review,Vol.  72,1 (Winter 2007),2007,73,124,73-124
0,University of Illinois Law Review,Vol.  2011,3 (2011),2011,961,1010,961-1010
0,University of Richmond Law Review ,Vol.  41,4 (May 2007),2007,861,896,861-896
0,Journal of Law & Politics,Vol.  17,4 (Fall 2001),2001,669,712,669-712
0,Arizona Law Review,Vol.  54,3 (2012),2012,577,620,577-620
0,Berkeley Journal of Criminal Law,Vol.  14,2 (2010),2010,395,438,395-438
0,Vanderbilt Law Review,Vol.  69,3 (April 2016),2016,585,638,585-638
0,Wake Forest Law Review,Vol.  51,3 (2016),2016,677,704,677-704
0,William & Mary Bill of Rights Journal,Vol.  22,2 (December 2013),2013,601,612,601-612
0,Texas Tech Law Review,Vol.  47,1 (Fall 2014),2014,151,178,151-178
0,American Criminal Law Review,Vol.  49,1 (Winter 2012),2012,31,72,31-72
0,Michigan Law Review,Vol.  113,1 (October 2014),2014,1,56,1-56
0,Arizona State Law Journal,Vol.  47,3 (Fall 2015),2015,755,800,755-800
0,Delaware Law Review,Vol.  2,2 (1999),1999,235,270,235-270
0,Washington and Lee Law Review,Vol.  73,3 (Summer 2016),2016,1359,1394,1359-1394
0,Journal of Legal Education,Vol.  64,1 (August 2014),2014,117,119,117-119
0,Virginia Law Review in Brief,Vol.  94,,,51,56,51-56
0,Virginia Law Review Online,Vol.  105,,,37,56,37-56
0,Columbia Law Review ,Vol.  108,3 (April 2008),2008,606,680,606-680
0,UCLA Law Review,Vol.  53,4 (April 2006),2006,909,976,909-976
0,William and Mary Law Review,Vol.  51,1 (October 2009),2009,1,86,1-86
0,UCLA Law Review ,Vol.  56,5 (June 2009),2009,1041,1094,1041-1094
0,Harvard Law Review,Vol.  125,7 (May 2012),2012,1563,1638,1563-1638
0,Stanford Law Review,Vol.  59,3 (December 2006),2006,601,672,601-672
0,Cardozo Law Review,Vol.  30,3 (December 2008),2008,1295,1368,1295-1368
0,Journal of Legal Analysis,Vol.  5,1 (Spring 2013),2013,61,106,61-106
0,Northwestern University Law Review,Vol.  98,4 (2004),2004,1291,1372,1291-1372
0,University of Chicago Law Review,Vol.  77,4 (Fall 2010),2010,1661,1738,1661-1738
0,Supreme Court Review,Vol.  2005,,,135,194,135-194
0,University of Pennsylvania Journal of Constitutional Law,Vol.  13,2 (December 2010),2010,305,336,305-336
0,California Law Review,Vol.  103,4 (August 2015),2015,919,988,919-988
0,Georgetown Law Journal,Vol.  103,1 (November 2014),2014,97,156,97-156
0,Fordham Law Review,Vol.  74,4 (March 2006),2006,2051,2080,2051-2080
0,University of Illinois Law Review,Vol.  2012,3 (2012),2012,783,800,783-800
0,Journal of Legal Analysis,Vol.  8,2 (Winter 2016),2016,439,491,439-491
0,Constitutional Commentary,Vol.  22,3 (Winter 2005),2005,505,528,505-528
0,New York University Law Review,Vol.  92,2 (May 2017),2017,554,[ii],554-[ii]
0,Duke Law Journal,Vol.  65,2 (November 2015),2015,279,344,279-344
0,William & Mary Bill of Rights Journal,Vol.  25,3 (March 2017),2017,827,896,827-896
0,University of Chicago Law Review,Vol.  74,4 (Fall 2007),2007,1251,1308,1251-1308
0,University of Illinois Law Review,Vol.  2013,5 (2013),2013,1733,1774,1733-1774
0,Villanova Law Review ,Vol.  53,5 (2008),2008,829,854,829-854
0,Duke Law Journal Online,Vol.  68,,,57,71,57-71
0,Notre Dame Law Review,Vol.  94,1 (November 2018),2018,155,218,155-218
0,Charleston Law Review,Vol.  13,2 (Winter 2018),2018,315,346,315-346
0,Stanford Law Review,Vol.  62,5 (May 2010),2010,1293,1360,1293-1360
0,Notre Dame Law Review,Vol.  84,1 (November 2008),2008,245,330,245-330
0,Washington and Lee Law Review,Vol.  63,1 (Winter 2006),2006,81,146,81-146
0,Boston College Law Review,Vol.  48,5 (November 2007),2007,1237,1300,1237-1300
0,South Carolina Law Review,Vol.  63,3 (Spring 2012),2012,481,516,481-516
0,Wisconsin Law Review,Vol.  2001,6 (2001),2001,1493,1540,1493-1540
0,Notre Dame Law Review,Vol.  86,3 (July 2011),2011,1131,1180,1131-1180
0,Iowa Law Review,Vol.  92,4 (May 2007),2007,1183,1236,1183-1236
0,Emory Law Journal,Vol.  66,1 (2016),2016,1,54,1-54
0,Virginia Law Review,Vol.  99,8 (December 2013),2013,1737,1810,1737-1810
0,Vanderbilt Law Review,Vol.  69,2 (March 2016),2016,333,400,333-400
0,Washington Law Review,Vol.  81,2 (May 2006),2006,279,336,279-336
0,University of Pittsburgh Law Review,Vol.  65,3 (Spring 2004),2004,545,596,545-596
0,Hastings Law Journal,Vol.  66,3 (2015),2015,795,822,795-822
0,Southwestern Journal of International Law,Vol.  18,2 (2012),2012,417,444,417-444
0,Review of Litigation,Vol.  32,4: Symposium (2013),2013,649,690,649-690
0,Brief,Vol.  34,1 (Fall 2004),2004,16,23,16-23
0,Vanderbilt Law Review,Vol.  71,5 (October 2018),2018,1401,1462,1401-1462
0,Boston University Law Review,Vol.  97,6 (December 2017),2017,1947,2010,1947-2010
0,Vanderbilt Law Review En Banc,Vol.  70,,,289,300,289-300
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2011,,,[217],[218],[217]-[218]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2014,,,[278],[280],[278]-[280]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2016,,,[119],[121],[119]-[121]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2017,,,[7],[8],[7]-[8]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2018,,,1,2,1-2
0,Northwestern University Law Review Colloquy,Vol.  103,,,230,241,230-241
0,Yale Law Journal Forum,Vol.  128,,,1,21,1-21
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2019,,,1,2,1-2
0,UCLA Law Review,Vol.  52,6 (August 2005),2005,1793,1866,1793-1866
0,University of Pennsylvania Journal of International Economic Law,Vol.  21,3 (Fall 2000),2000,523,562,523-562
0,Law and History Review,Vol.  28,1 (February 2010),2010,173,226,173-226
0,Law and Contemporary Problems,Vol.  73,1 (Winter 2010),2010,25,62,25-62
0,Virginia Journal of Law & Technology,Vol.  6,2 (Summer 2001),2001,1,12,1-12
0,Loyola University Chicago Law Journal,Vol.  40,2 (Winter 2009),2009,321,368,321-368
0,Michigan Law Review,Vol.  113,6 (April 2015),2015,943,972,943-972
0,Theoretical Inquiries in Law,Vol.  11,2 (July 2010),2010,497,538,497-538
0,Journal of Legal Education,Vol.  55,1 (2005),2005,116,125,116-125
0,Law & Social Inquiry ,Vol.  26,3 (Summer 2001),2001,741,776,741-776
0,Fordham Law Review,Vol.  84,6 (May 2016),2016,2517,2536,2517-2536
0,Indiana Law Journal,Vol.  83,3 (Summer 2008),2008,881,956,881-956
0,Buffalo Law Review,Vol.  64,1 (January 2016),2016,1,22,1-22
0,Columbia Journal of Tax Law,Vol.  7,1 (2016),2016,144,168,144-168
0,Law & Society Review,Vol.  45,3 (2011),2011,593,630,593-630
0,Law and History Review,Vol.  26,1 (Spring 2008),2008,206,208,206-208
0,,,,,,,
0,Constitutional Commentary,Vol.  29,3 (Summer 2014),2014,475,510,475-510
0,Florida Tax Review,Vol.  21,2 (2018),2018,655,685,655-685
0,Law and History Review,Vol.  28,1 (February 2010),2010,241,250,241-250
0,Michigan Law Review ,Vol.  108,6 (April 2010),2010,1053,1078,1053-1078
0,Law and Contemporary Problems,Vol.  81,2 (2018),2018,203,240,203-240
0,Yale Law Journal ,Vol.  93,7 (June 1984),1984,1231,1282,1231-1282
0,Harvard Law Review ,Vol.  101,3 (January 1988),1988,563,609,563-609
0,Journal of Legal Studies,Vol.  25,2 (June 1996),1996,319,350,319-350
0,Yale Law Journal,Vol.  110,5 (March 2001),2001,785,828,785-828
0,Columbia Law Review,Vol.  89,2 (March 1989),1989,199,263,199-263
0,University of Chicago Law Review,Vol.  58,1 (Winter 1991),1991,255,306,255-306
0,Supreme Court Review,Vol.  1987,,,249,302,249-302
0,Chicago Journal of International Law,Vol.  3,1 (Spring 2002),2002,47,68,47-68
0,University of Chicago Law Review,Vol.  66,1 (Winter 1999),1999,1,46,1-46
0,Law and Policy in International Business,Vol.  23,2 (1992),1992,263,330,263-330
0,Journal of Legal Studies,Vol.  34,2 (June 2005),2005,631,666,631-666
0,Journal of Legal Studies,Vol.  31,1 - Part 2 (January 2002),2002,S179,S204,S179-S204
0,Boston University International Law Journal,Vol.  8,2 (Fall 1990),1990,301,324,301-324
0,Harvard Law Review ,Vol.  95,8 (June 1982),1982,1857,1874,1857-1874
0,Journal of Legal Studies,Vol.  19,1 (January 1990),1990,43,94,43-94
0,University of Chicago Law Review,Vol.  70,1 (Winter 2003),2003,403,420,403-420
0,Journal of Legal Studies,Vol.  25,2 (June 1996),1996,405,444,405-444
0,Georgetown Law Journal,Vol.  100,6 (August 2012),2012,2161,2210,2161-2210
0,Harvard Law Review,Vol.  120,5 (March 2007),2007,1137,1147,1137-1147
0,Journal of International Economic Law,Vol.  1,1 (1998),1998,49,82,49-82
