,Title,Paper Type,List Author,Author(s),Number of Authors,Journal,Journal,Vol,Issue,Issue Year,First Page,Last Page,BBCite,BBCite Year,Cited (articles),Cited (cases),Accessed,Topics,ID
0,Using Tort Litigation to Enhance Regulatory Policy Making: Evaluating Climate-Change Litigation of Lessons from Gun-Industry and Clergy-Sexual-Abuse Lawsuits,notes, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Texas Law Review, Vol. 86, Issue 7 (June 2008), pp. 1837-1876",Texas Law Review,Vol.  86,7 (June 2008),2008,1837,1876,86 Tex. L. Rev. 1837 (2007-2008),2007,42,0,50,"Clergy, Climate Change, Industry, Sexual Abuse, Torts, States, Religion",3453
1,Lawsuits against the Gun Industry: A Comparative Institutional Analysis,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Connecticut Law Review, Vol. 32, Issue 4 (Summer 2000), pp. 1247-1276",Connecticut Law Review,Vol.  32,4 (Summer 2000),2000,1247,1276,32 Conn. L. Rev. 1247 (Summer 2000),2000,41,0,24,"Industry, Firearms, Tort Claims, Torts",3453
2,Halberstam v. Daniel and the Uncertain Future of Negligent Marketing Claims against Firearms Manufacturers,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Brooklyn Law Review, Vol. 64, Issue 2 (1998), pp. 681-710",Brooklyn Law Review,Vol.  64,2 (1998),1998,681,710,64 Brook. L. Rev. 681 (1998),1998,37,7,20,"Firearms, Marketing, Torts, Copyright, Intellectual Property Law, Liability, Immunity, Judiciary",3453
3,Tort Claims against Gun Manufacturers for Crime-Related Injuries: Defining a Suitable Role for the Tort System in Regulating the Firearms Industry,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Missouri Law Review, Vol. 65, Issue 1 (Winter 2000), pp. 1-82",Missouri Law Review,Vol.  65,1 (Winter 2000),2000,1,82,65 Mo. L. Rev. 1 (2000),2000,36,1,15,"Firearms, Industry, Tort Claims, Legislation, Liability, State and Local Government Law, Immunity",3453
4,Responsibility for Human Suffering: Awareness Participation and the Frontiers of Tort Law,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Cornell Law Review, Vol. 78, Issue 3 , pp. 470-506",Cornell Law Review,Vol.  78,3,,470,506,78 Cornell L. Rev. 470 (1992-1993),1992,18,0,5,"Criminal Law and Procedure, Jurisprudence, Legal Analysis and Writing, Torts",3453
5,Clergy Sexual Abuse Litigation: The Policymaking Role of Tort Law,comments, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Connecticut Law Review, Vol. 39, Issue 3 (February 2007), pp. 809-896",Connecticut Law Review,Vol.  39,3 (February 2007),2007,809,896,39 Conn. L. Rev. 809 (2006-2007),2006,18,0,15,"Clergy, Sexual Abuse, Religion, Torts, Sexuality and the Law",3453
6,Allowing Patients to Waive the Right to Sue for Medical Malpractice: A Response to Thaler and Sunstein,article, Timothy D. Lytton,"Baker, Tom (Cited 1006 times); Lytton, Timothy D. (Cited 278 times)",2,"Northwestern University Law Review, Vol. 104, Issue 1 (2010), pp. 233-252",Northwestern University Law Review,Vol.  104,1 (2010),2010,233,252,104 Nw. U. L. Rev. 233 (2010),2010,15,0,14,"Economics, Malpractice, Medical Jurisprudence, Medical Malpractice, Patients, Torts, Liberty, Politics",3453
7,Tort as a Litigation Lottery: A Misconceived Metaphor,comments, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times); Rabin, Robert L. (Cited 2673 times); Schuck, Peter H. (Cited 3532 times)",3,"Boston College Law Review, Vol. 52, Issue 1 (January 2011), pp. 267-288",Boston College Law Review,Vol.  52,1 (January 2011),2011,267,288,52 B.C. L. Rev. 267 (January 2011),2011,11,0,7,"Torts, No-Fault, Remedies, Insurance, Plaintiffs",3453
8,"Should Government Be Allowed to Recover the Costs of Public Services from Tortfeasors: Tort Subsidies, the Limits of Loss Spreading, and the Free Public Services Doctrine",article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Tulane Law Review, Vol. 76, Issue 3 (February 2002), pp. 727-782",Tulane Law Review,Vol.  76,3 (February 2002),2002,727,782,76 Tul. L. Rev. 727 (2001-2002),2001,10,1,13,"Costs, Government, State and Local Government Law, Subsidies, Tortfeasors, Torts, Admiralty, Admiralty Law, Pollution",3453
9,Oversight in Private Food Safety Auditing: Addressing Auditor Conflict of Interest,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times); McAllister, Lesley K. (Cited 189 times)",2,"Wisconsin Law Review, Vol. 2014, Issue 2 (2014), pp. 289-336",Wisconsin Law Review,Vol.  2014,2 (2014),2014,289,336,2014 Wis. L. Rev. 289 (2014),2014,8,0,21,"Conflict of Interest, Interest, Professional Ethics, Regulation, Comparative and Foreign Law, Food and Drug Law",3453
10,Rules and Relationships: The Varieties of Wrongdoing in Tort Law,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Seton Hall Law Review, Vol. 28, Issue 2 (1997), pp. 359-389",Seton Hall Law Review,Vol.  28,2 (1997),1997,359,389,28 Seton Hall L. Rev. 359 (1997-1998),1997,7,0,5,"Punishment, Human Rights, Liability, Strict Liability",3453
