School Name,URL,City,State,URL Var Clean,Short URL
John Brown University,http://jbu.edu,Siloam Springs,AR,http://jbu.edu,jbu.edu
Lyon College,http://lyon.edu,Batesville,AR,http://lyon.edu,lyon.edu
Mid-South Community College,http://midsouthcc.edu,West Memphis,AR,http://midsouthcc.edu,midsouthcc.edu
North Arkansas College,http://northark.edu,Harrison,AR,http://northark.edu,northark.edu
Northwest Arkansas Community College,http://nwacc.edu,Bentonville,AR,http://nwacc.edu,nwacc.edu
Northwest Technical Institute,http://nwti.edu,Springdale,AR,http://nwti.edu,nwti.edu
Ouachita Baptist University,http://obu.edu,Arkadelphia,AR,http://obu.edu,obu.edu
University of the Ozarks,http://ozarks.edu,Clarksville,AR,http://ozarks.edu,ozarks.edu
Phillips Community College U of A,http://pccua.edu,Helena-West Helena,AR,http://pccua.edu,pccua.edu
Pulaski Technical College,http://pulaskitech.edu,North Little Rock,AR,http://pulaskitech.edu,pulaskitech.edu
Southern Arkansas University Magnolia,http://saumag.edu,Magnolia,AR,http://saumag.edu,saumag.edu
Southeast Arkansas College,http://seark.edu,Pine Bluff,AR,http://seark.edu,seark.edu
University of Arkansas Community College Batesville,http://uaccb.edu,Batesville,AR,http://uaccb.edu,uaccb.edu
University of Arkansas at Little Rock,http://ualr.edu,Little Rock,AR,http://ualr.edu,ualr.edu
University of Arkansas for Medical Sciences,http://uams.edu,Little Rock,AR,http://uams.edu,uams.edu
University of Arkansas at Pine Bluff,http://uapb.edu,Pine Bluff,AR,http://uapb.edu,uapb.edu
University of Arkansas,http://uark.edu,Fayetteville,AR,http://uark.edu,uark.edu
University of Central Arkansas,http://uca.edu,Conway,AR,http://uca.edu,uca.edu
Williams Baptist College,http://wbcoll.edu,Walnut Ridge,AR,http://wbcoll.edu,wbcoll.edu
University of Arizona,http://arizona.edu,Tucson,AZ,http://arizona.edu,arizona.edu
Arizona State University,http://asu.edu,Tempe,AZ,http://asu.edu,asu.edu
Arizona Western College,http://azwestern.edu,Yuma,AZ,http://azwestern.edu,azwestern.edu
Bryan University,http://bryanuniversity.edu,Tempe,AZ,http://bryanuniversity.edu,bryanuniversity.edu
Central Arizona College,http://centralaz.edu,Coolidge,AZ,http://centralaz.edu,centralaz.edu
Glendale Community College,http://gccaz.edu,Glendale,AZ,http://gccaz.edu,gccaz.edu
Grand Canyon University,http://gcu.edu,Phoenix,AZ,http://gcu.edu,gcu.edu
Maricopa Community Colleges,http://maricopa.edu,Phoenix,AZ,http://maricopa.edu,maricopa.edu
Mesa Community College,http://mesacc.edu,Mesa,AZ,http://mesacc.edu,mesacc.edu
Northern Arizona University,http://nau.edu,Flagstaff,AZ,http://nau.edu,nau.edu
Northland Pioneer College,http://npc.edu,(multiple locations),AZ,http://npc.edu,npc.edu
University of Phoenix,http://phoenix.edu,Tempe,AZ,http://phoenix.edu,phoenix.edu
Phoenix College,http://phoenixcollege.edu,Phoenix,AZ,http://phoenixcollege.edu,phoenixcollege.edu
Pima Community College,http://pima.edu,Tucson,AZ,http://pima.edu,pima.edu
Prescott College,http://prescott.edu,Prescott,AZ,http://prescott.edu,prescott.edu
Rio Salado College,http://riosalado.edu,Tempe,AZ,http://riosalado.edu,riosalado.edu
South Mountain Community College,http://southmountaincc.edu,Pheonix,AZ,http://southmountaincc.edu,southmountaincc.edu
University of Advancing Technology,http://uat.edu,Tempe,AZ,http://uat.edu,uat.edu
Yavapai College,http://yc.edu,Prescott,AZ,http://yc.edu,yc.edu
Academy of Arts University,http://academyart.edu,San Francisco,CA,http://academyart.edu,academyart.edu
Adance Computing Institute,http://advancedcomputinginstitute.edu,Los Angeles,CA,http://advancedcomputinginstitute.edu,advancedcomputinginstitute.edu
Acupuncture & Integrative Medicine College,http://aimc.edu,Berkeley,CA,http://aimc.edu,aimc.edu
Alliant International University,http://alliant.edu,Alhambra,CA,http://alliant.edu,alliant.edu
Allied American University,http://allied.edu,Laguna Hills,CA,http://allied.edu,allied.edu
Anaheim University,http://anaheim.edu,Anaheim,CA,http://anaheim.edu,anaheim.edu
Angeles College,http://angelescollege.edu,Los Angeles,CA,http://angelescollege.edu,angelescollege.edu
Antioch University Los Angeles,http://antiochla.edu,Culver City,CA,http://antiochla.edu,antiochla.edu
Argosy University,http://argosy.edu,(multiple locations),CA,http://argosy.edu,argosy.edu
Art Center College of Design,http://artcenter.edu,Pasadena,CA,http://artcenter.edu,artcenter.edu
The Art Institute,http://artinstitutes.edu,(multiple locations),CA,http://artinstitutes.edu,artinstitutes.edu
Ashford University,http://ashford.edu,San Diego,CA,http://ashford.edu,ashford.edu
ATI College,http://ati.edu,Norwalk,CA,http://ati.edu,ati.edu
Antelope Valley College,http://avc.edu,Lancaster,CA,http://avc.edu,avc.edu
Bakersfield College,http://bakersfieldcollege.edu,Bakersfield,CA,http://bakersfieldcollege.edu,bakersfieldcollege.edu
Barstow Community College,http://barstow.edu,Barstow,CA,http://barstow.edu,barstow.edu
Berkeley University of California,http://berkeley.edu,Berkeley,CA,http://berkeley.edu,berkeley.edu
Berkeley City College,http://berkeleycitycollege.edu,Berkeley,CA,http://berkeleycitycollege.edu,berkeleycitycollege.edu
Brandman University,http://brandman.edu,Irvine,CA,http://brandman.edu,brandman.edu
Butte College,http://butte.edu,Oroville,CA,http://butte.edu,butte.edu
Cabrillo College,http://cabrillo.edu,Aptos,CA,http://cabrillo.edu,cabrillo.edu
California Institute of the Arts,http://calarts.edu,Valencie,CA,http://calarts.edu,calarts.edu
California Baptist University,http://calbaptist.edu,Riverside,CA,http://calbaptist.edu,calbaptist.edu
California Lutheran University,http://callutheran.edu,Thousand Oaks,CA,http://callutheran.edu,callutheran.edu
California Miramar University,http://calmu.edu,San Diego,CA,http://calmu.edu,calmu.edu
California Polytechnic State University,http://calpoly.edu,San Luis Obispo,CA,http://calpoly.edu,calpoly.edu
California State University,http://calstate.edu,Long Beach,CA,http://calstate.edu,calstate.edu
California Institute of Technology,http://caltech.edu,Pasadena,CA,http://caltech.edu,caltech.edu
Canada College,http://canadacollege.edu,Redwood City,CA,http://canadacollege.edu,canadacollege.edu
College of the Canyons,http://canyons.edu,Santa Clarita,CA,http://canyons.edu,canyons.edu
California College of the Arts,http://cca.edu,San Francisco,CA,http://cca.edu,cca.edu
California Community Colleges Chanellor's Office,http://cccco.edu,Sacramento,CA,http://cccco.edu,cccco.edu
City College of San Francisco,http://ccsf.edu,San Francisco,CA,http://ccsf.edu,ccsf.edu
Cerritos College,http://cerritos.edu,Norwalk,CA,http://cerritos.edu,cerritos.edu
Cerro Coso Community College,http://cerrocoso.edu,Ridgecrest,CA,http://cerrocoso.edu,cerrocoso.edu
Claremont Graduate University,http://cgu.edu,Claremont,CA,http://cgu.edu,cgu.edu
Chaffey College,http://chaffey.edu,Rancho Cucamonga,CA,http://chaffey.edu,chaffey.edu
Chapman University,http://chapman.edu,Orange,CA,http://chapman.edu,chapman.edu
California Institute of Integral Studies,http://ciis.edu,San Francisco,CA,http://ciis.edu,ciis.edu
Citrus College,http://citruscollege.edu,Glendora,CA,http://citruscollege.edu,citruscollege.edu
The Claremont Colleges,http://claremont.edu,Claremont,CA,http://claremont.edu,claremont.edu
Claremont McKenna College,http://cmc.edu,Claremont,CA,http://cmc.edu,cmc.edu
Copper Mountain College,http://cmccd.edu,(multiple locations),CA,http://cmccd.edu,cmccd.edu
Cogswell Polytechnical College,http://cogswell.edu,Sunnyvale,CA,http://cogswell.edu,cogswell.edu
College of San Mateo,http://collegeofsanmateo.edu,San Mateo,CA,http://collegeofsanmateo.edu,collegeofsanmateo.edu
College of the Desert,http://collegeofthedesert.edu,Palm Desert,CA,http://collegeofthedesert.edu,collegeofthedesert.edu
El Camino College Compton Center,http://compton.edu,Compton,CA,http://compton.edu,compton.edu
Contra Costa College,http://contracosta.edu,San Pablo,CA,http://contracosta.edu,contracosta.edu
College of the Sequoias,http://cos.edu,Visalia,CA,http://cos.edu,cos.edu
Crafton Hills College,http://craftonhills.edu,Yucaipa,CA,http://craftonhills.edu,craftonhills.edu
California State University Bakersfield,http://csub.edu,Bakersfield,CA,http://csub.edu,csub.edu
California State University Channel Islands,http://csuci.edu,Camarillo,CA,http://csuci.edu,csuci.edu
California State University Dominguez Hills,http://csudh.edu,Carson,CA,http://csudh.edu,csudh.edu
California State University East Bay,http://csueastbay.edu,Hayward,CA,http://csueastbay.edu,csueastbay.edu
Fresno State,http://fresnostate.edu,Fresno,CA,http://fresnostate.edu,fresnostate.edu
California State University Long Beach,http://csulb.edu,Long Beach,CA,http://csulb.edu,csulb.edu
California State University Monterey Bay,http://csumb.edu,Seaside,CA,http://csumb.edu,csumb.edu
California State University Northridge,http://csun.edu,Northridge,CA,http://csun.edu,csun.edu
California State Polytechnic University Pomona,http://csupomona.edu,Pomona,CA,http://csupomona.edu,csupomona.edu
California State University Sacramento,http://csus.edu,Sacramento,CA,http://csus.edu,csus.edu
California State University San Bernardino,http://csusb.edu,San Bernardino,CA,http://csusb.edu,csusb.edu
California State University San Marcos,http://csusm.edu,San Marcos,CA,http://csusm.edu,csusm.edu
California State University Stanislaus,http://csustan.edu,Stanislaus,CA,http://csustan.edu,csustan.edu
Cuesta College,http://cuesta.edu,San Luis Obispo,CA,http://cuesta.edu,cuesta.edu
Cuyamaca College,http://cuyamaca.edu,El Cajon,CA,http://cuyamaca.edu,cuyamaca.edu
California Western School of Law San Diego,http://cwsl.edu,San Diego,CA,http://cwsl.edu,cwsl.edu
Cypress College,http://cypresscollege.edu,Cypress,CA,http://cypresscollege.edu,cypresscollege.edu
DeAnza College,http://deanza.edu,Cupertino,CA,http://deanza.edu,deanza.edu
San Joaquin Delta College,http://deltacollege.edu,Stockton,CA,http://deltacollege.edu,deltacollege.edu
Dominican University of California,http://dominican.edu,San Rafael,CA,http://dominican.edu,dominican.edu
Dominican School of Philosophy and Theology,http://dspt.edu,Berkeley,CA,http://dspt.edu,dspt.edu
Diablo Valley College,http://dvc.edu,Pleasant Hill,CA,http://dvc.edu,dvc.edu
East Los Angeles College,http://elac.edu,Monterey Park,CA,http://elac.edu,elac.edu
El Camino College,http://elcamino.edu,Torrance,CA,http://elcamino.edu,elcamino.edu
Ex'pression College,http://expression.edu,San Jose,CA,http://expression.edu,expression.edu
Foothill-De Anza Community College District,http://fhda.edu,Los Altos Hills,CA,http://fhda.edu,fhda.edu
Fashion Institute of Design & Merchandising,http://fidm.edu,San Francisco,CA,http://fidm.edu,fidm.edu
Fielding Graduate University,http://fielding.edu,Santa Barbara,CA,http://fielding.edu,fielding.edu
Foothill College,http://foothill.edu,Los Altos Hills,CA,http://foothill.edu,foothill.edu
Fresno Pacific University,http://fresno.edu,Fresno,CA,http://fresno.edu,fresno.edu
Fresno City College,http://fresnocitycollege.edu,Fresno,CA,http://fresnocitycollege.edu,fresnocitycollege.edu
Frederick Taylor University,http://ftu.edu,Moraga,CA,http://ftu.edu,ftu.edu
Fullerton College,http://fullcoll.edu,Fullerton,CA,http://fullcoll.edu,fullcoll.edu
Fuller Theological Seminary,http://fuller.edu,Pasadena,CA,http://fuller.edu,fuller.edu
California State University Fullerton,http://fullerton.edu,Fullerton,CA,http://fullerton.edu,fullerton.edu
Gavilan College,http://gavilan.edu,Gilroy,CA,http://gavilan.edu,gavilan.edu
Golden Gate Baptist Theological Seminary,http://ggbts.edu,Mill Valley,CA,http://ggbts.edu,ggbts.edu
Gnomon School of Visual Effects,http://gnomon.edu,Hollywood,CA,http://gnomon.edu,gnomon.edu
Columbia College,http://gocolumbia.edu,Sonora,CA,http://gocolumbia.edu,gocolumbia.edu
Golden West College,http://goldenwestcollege.edu,Huntington Beach,CA,http://goldenwestcollege.edu,goldenwestcollege.edu
Grossmont College,http://grossmont.edu,El Cajon,CA,http://grossmont.edu,grossmont.edu
Allan Hancock College,http://hancockcollege.edu,Santa Maria,CA,http://hancockcollege.edu,hancockcollege.edu
Hartnell College,http://hartnell.edu,Salinas,CA,http://hartnell.edu,hartnell.edu
Henley-Putnam University,http://henley-putnam.edu,Santa Clara,CA,http://henley-putnam.edu,henley-putnam.edu
Harvey Mudd College,http://hmc.edu,Claremont,CA,http://hmc.edu,hmc.edu
Holy Names University,http://hnu.edu,Oakland,CA,http://hnu.edu,hnu.edu
Humboldt State University,http://humboldt.edu,Arcata,CA,http://humboldt.edu,humboldt.edu
Humphreys College,http://humphreys.edu,Stockton,CA,http://humphreys.edu,humphreys.edu
Imperial Valley College,http://imperial.edu,Imperial,CA,http://imperial.edu,imperial.edu
International Sports Sciences Association,http://issaonline.edu,Carpinteria,CA,http://issaonline.edu,issaonline.edu
International Technological University,http://itu.edu,San Jose,CA,http://itu.edu,itu.edu
Irvine Valley College,http://ivc.edu,Irvine,CA,http://ivc.edu,ivc.edu
William Jessup University,http://jessup.edu,Rocklin,CA,http://jessup.edu,jessup.edu
John F. Kennedy University,http://jfku.edu,Pleasant Hill,CA,http://jfku.edu,jfku.edu
Keck Graduate Institute,http://kgi.edu,Claremont,CA,http://kgi.edu,kgi.edu
Mount Saint Mary's College,http://la.edu,Los Angeles,CA,http://la.edu,la.edu
Los Angeles Community College District,http://laccd.edu,Los Angeles,CA,http://laccd.edu,laccd.edu
Los Angeles City College,http://lacitycollege.edu,Los Angeles,CA,http://lacitycollege.edu,lacitycollege.edu
Los Angeles Harbor College,http://lahc.edu,Wilmington,CA,http://lahc.edu,lahc.edu
Los Angeles Mission College,http://lamission.edu,Sylmar,CA,http://lamission.edu,lamission.edu
Laney College,http://laney.edu,Oakland,CA,http://laney.edu,laney.edu
Los Angeles Southwest College,http://lasc.edu,Los Angeles,CA,http://lasc.edu,lasc.edu
La Sierra University,http://lasierra.edu,Riverside,CA,http://lasierra.edu,lasierra.edu
Las Positas College,http://laspositascollege.edu,Livermore,CA,http://laspositascollege.edu,laspositascollege.edu
Los Angeles Trade-Tech Community College,http://lattc.edu,Los Angeles,CA,http://lattc.edu,lattc.edu
Laurus College,http://lauruscollege.edu,Santa Maria,CA,http://lauruscollege.edu,lauruscollege.edu
Los Angeles Valley College,http://lavc.edu,Valley Glen,CA,http://lavc.edu,lavc.edu
University of La Verne,http://laverne.edu,La Verne,CA,http://laverne.edu,laverne.edu
UCLA School of Law,http://ucla.edu,Los Angeles,CA,http://ucla.edu,ucla.edu
Long Beach City College,http://lbcc.edu,Long Beach,CA,http://lbcc.edu,lbcc.edu
Life Chiropractic College West,http://lifewest.edu,Hayward,CA,http://lifewest.edu,lifewest.edu
Loma Linda University,http://llu.edu,Loma Linda,CA,http://llu.edu,llu.edu
Loyola Marymount University,http://lmu.edu,Los Angeles,CA,http://lmu.edu,lmu.edu
Los Medanos College,http://losmedanos.edu,Pittsburg,CA,http://losmedanos.edu,losmedanos.edu
Los Rios Community College District,http://losrios.edu,Sacramento,CA,http://losrios.edu,losrios.edu
Lake Tahoe Community College,http://ltcc.edu,South Lake Tahoe,CA,http://ltcc.edu,ltcc.edu
College of Marin,http://marin.edu,Kentfield,CA,http://marin.edu,marin.edu
Marymount California University,http://marymountcalifornia.edu,Rancho Palos Verdes,CA,http://marymountcalifornia.edu,marymountcalifornia.edu
The Master's College,http://masters.edu,Santa Clarita,CA,http://masters.edu,masters.edu
Merced Community College,http://mccd.edu,Merced,CA,http://mccd.edu,mccd.edu
Mills College,http://mills.edu,Oakland,CA,http://mills.edu,mills.edu
MiraCosta College,http://miracosta.edu,Oceanside,CA,http://miracosta.edu,miracosta.edu
Modesto Junior College,http://mjc.edu,Modesto,CA,http://mjc.edu,mjc.edu
Mount San Jacinto College,http://msjc.edu,(multiple locations),CA,http://msjc.edu,msjc.edu
Mount San Antonio College,http://mtsac.edu,Walnut,CA,http://mtsac.edu,mtsac.edu
Napa Valley College,http://napavalley.edu,Napa,CA,http://napavalley.edu,napavalley.edu
Notre Dame de Namur University,http://ndnu.edu,Belmont,CA,http://ndnu.edu,ndnu.edu
NewSchool of Architecture and Design,http://newschoolarch.edu,San Diego,CA,http://newschoolarch.edu,newschoolarch.edu
Norco College,http://norcocollege.edu,Norco,CA,http://norcocollege.edu,norcocollege.edu
Naval Postgraduate School,http://nps.edu,Monterey,CA,http://nps.edu,nps.edu
Ohlone College,http://ohlone.edu,Fremont,CA,http://ohlone.edu,ohlone.edu
Orange Coast College,http://orangecoastcollege.edu,Costa Mesa,CA,http://orangecoastcollege.edu,orangecoastcollege.edu
Otis College of Art and Design,http://otis.edu,Los Angeles,CA,http://otis.edu,otis.edu
Occidental College,http://oxy.edu,Los Angeles,CA,http://oxy.edu,oxy.edu
University of the Pacific,http://pacific.edu,Stockton,CA,http://pacific.edu,pacific.edu
Pacific College of Oriental Medicine,http://pacificcollege.edu,San Diego,CA,http://pacificcollege.edu,pacificcollege.edu
Palomar College,http://palomar.edu,San Marcos,CA,http://palomar.edu,palomar.edu
Pasadena City College,http://pasadena.edu,Pasadena,CA,http://pasadena.edu,pasadena.edu
Pepperdine University,http://pepperdine.edu,Malibu,CA,http://pepperdine.edu,pepperdine.edu
Peralta Community College District,http://peralta.edu,Oakland,CA,http://peralta.edu,peralta.edu
Pierce College,http://piercecollege.edu,Woodland Hills,CA,http://piercecollege.edu,piercecollege.edu
Pitzer College,http://pitzer.edu,Claremont,CA,http://pitzer.edu,pitzer.edu
Pacific Lutheran Theological Seminary,http://plts.edu,Berkeley,CA,http://plts.edu,plts.edu
Point Loma Nazarene University,http://pointloma.edu,San Diego,CA,http://pointloma.edu,pointloma.edu
Pomona College,http://pomona.edu,Claremont,CA,http://pomona.edu,pomona.edu
Porterville College,http://portervillecollege.edu,Porterville,CA,http://portervillecollege.edu,portervillecollege.edu
Pacific School of Religion,http://psr.edu,Berkeley,CA,http://psr.edu,psr.edu
Riverside City College,http://rcc.edu,Riverside,CA,http://rcc.edu,rcc.edu
Riverside Community College District,http://rccd.edu,Riverside,CA,http://rccd.edu,rccd.edu
University of Redlands,http://redlands.edu,Redlands,CA,http://redlands.edu,redlands.edu
College of the Redwoods,http://redwoods.edu,Eureka,CA,http://redwoods.edu,redwoods.edu
Rio Hondo College,http://riohondo.edu,Whittier,CA,http://riohondo.edu,riohondo.edu
Rosemead College,http://rosemeadcollege.edu,Rosemead,CA,http://rosemeadcollege.edu,rosemeadcollege.edu
Santa Ana College,http://sac.edu,Santa Ana,CA,http://sac.edu,sac.edu
Saddleback College,http://saddleback.edu,Mission Viejo,CA,http://saddleback.edu,saddleback.edu
University of San Diego,http://sandiego.edu,San Diego,CA,http://sandiego.edu,sandiego.edu
Santa Rosa Junior College,http://santarosa.edu,Santa Rosa,CA,http://santarosa.edu,santarosa.edu
Santa Barbara City College,http://sbcc.edu,Santa Barbara,CA,http://sbcc.edu,sbcc.edu
School of Continuing Education,http://sce.edu,Anaheim,CA,http://sce.edu,sce.edu
Scripps College,http://scrippscollege.edu,Claremont,CA,http://scrippscollege.edu,scrippscollege.edu
Santa Clara University,http://scu.edu,Santa Clara,CA,http://scu.edu,scu.edu
Southern California University of Health Sciences,http://scuhs.edu,Whittier,CA,http://scuhs.edu,scuhs.edu
San Diego City College,http://sdcity.edu,San Diego,CA,http://sdcity.edu,sdcity.edu
San Diego Mesa College,http://sdmesa.edu,San Diego,CA,http://sdmesa.edu,sdmesa.edu
San Diego State University,http://sdsu.edu,San Diego,CA,http://sdsu.edu,sdsu.edu
San Francisco State University,http://sfsu.edu,San Francisco,CA,http://sfsu.edu,sfsu.edu
Shasta College,http://shastacollege.edu,Redding,CA,http://shastacollege.edu,shastacollege.edu
The Institute of Buddhist Studies,http://shin-ibs.edu,Berkeley,CA,http://shin-ibs.edu,shin-ibs.edu
Sierra College,http://sierracollege.edu,Rocklin,CA,http://sierracollege.edu,sierracollege.edu
Simpson University,http://simpsonu.edu,Redding,CA,http://simpsonu.edu,simpsonu.edu
College of the Siskiyous,http://siskiyous.edu,Weed,CA,http://siskiyous.edu,siskiyous.edu
San Jose State University,http://sjsu.edu,San Jose,CA,http://sjsu.edu,sjsu.edu
Starr King School for the Ministry,http://sksm.edu,Berkeley,CA,http://sksm.edu,sksm.edu
Skyline College,http://skylinecollege.edu,San Bruno,CA,http://skylinecollege.edu,skylinecollege.edu
Santa Monica College,http://smc.edu,Santa Monica,CA,http://smc.edu,smc.edu
San Mateo County Community College,http://smccd.edu,San Mateo,CA,http://smccd.edu,smccd.edu
Soka University of America,http://soka.edu,Aliso Viejo,CA,http://soka.edu,soka.edu
Solano Community College,http://solano.edu,(multiple locations),CA,http://solano.edu,solano.edu
Sonoma State University,http://sonoma.edu,Rohnert Park,CA,http://sonoma.edu,sonoma.edu
Stanford University,http://stanford.edu,Stanford,CA,http://stanford.edu,stanford.edu
Saint Mary's College,http://stmarys-ca.edu,Moraga,CA,http://stmarys-ca.edu,stmarys-ca.edu
Taft College,http://taftcollege.edu,Taft,CA,http://taftcollege.edu,taftcollege.edu
Touro University California,http://tu.edu,Vallejo,CA,http://tu.edu,tu.edu
University of California Davis,http://ucdavis.edu,Davis,CA,http://ucdavis.edu,ucdavis.edu
University of California Hastings College of the Law,http://uchastings.edu,San Francisco,CA,http://uchastings.edu,uchastings.edu
University of California Irvine,http://uci.edu,Irvine,CA,http://uci.edu,uci.edu
University of California Los Angeles,http://ucla.edu,Los Angeles,CA,http://ucla.edu,ucla.edu
University of California Los Angeles Extension,http://uclaextension.edu,Los Angeles,CA,http://uclaextension.edu,uclaextension.edu
University of California Merced,http://ucmerced.edu,Merced,CA,http://ucmerced.edu,ucmerced.edu
University of California,http://ucop.edu,Oakland,CA,http://ucop.edu,ucop.edu
University of California Press,http://ucpress.edu,(multiple locations),CA,http://ucpress.edu,ucpress.edu
University of California Riverside,http://ucr.edu,Riverside,CA,http://ucr.edu,ucr.edu
University of California Santa Barbara,http://ucsb.edu,Santa Barbara,CA,http://ucsb.edu,ucsb.edu
University of California Santa Cruz,http://ucsc.edu,Santa Cruz,CA,http://ucsc.edu,ucsc.edu
University of California Santa Cruz Silicon Valley Extension,http://ucsc-extension.edu,Santa Clara,CA,http://ucsc-extension.edu,ucsc-extension.edu
University of California San Diego,http://ucsd.edu,La Jolla,CA,http://ucsd.edu,ucsd.edu
University of California San Francisco,http://ucsf.edu,San Francisco,CA,http://ucsf.edu,ucsf.edu
University of Southern California,http://usc.edu,Los Angeles,CA,http://usc.edu,usc.edu
University of San Francisco,http://usfca.edu,San Francisco,CA,http://usfca.edu,usfca.edu
San Bernardino Valley College,http://valleycollege.edu,San Bernardino,CA,http://valleycollege.edu,valleycollege.edu
Ventura College,http://venturacollege.edu,Ventura,CA,http://venturacollege.edu,venturacollege.edu
Victor Valley College,http://vvc.edu,Victorville,CA,http://vvc.edu,vvc.edu
West Coast Baptist College,http://wcbc.edu,Lancaster,CA,http://wcbc.edu,wcbc.edu
Western University of Health Sciences,http://westernu.edu,Pamona,CA,http://westernu.edu,westernu.edu
Westmont College,http://westmont.edu,Santa Barbara,CA,http://westmont.edu,westmont.edu
West Valley College,http://westvalley.edu,Saratoga,CA,http://westvalley.edu,westvalley.edu
West Hills Community College District,http://whccd.edu,Coalinga,CA,http://whccd.edu,whccd.edu
Whittier College,http://whittier.edu,Whittier,CA,http://whittier.edu,whittier.edu
West Los Angeles College,http://wlac.edu,Culver City,CA,http://wlac.edu,wlac.edu
Yuba Community College District,http://yccd.edu,Marysville,CA,http://yccd.edu,yccd.edu
Yosemite Community College District,http://yosemite.edu,Modesto,CA,http://yosemite.edu,yosemite.edu
Unitek College,http://unitekcollege.edu,Fremont,CA,http://unitekcollege.edu,unitekcollege.edu
Vanguard University,http://vanguard.edu,Costa Mesa,CA,http://vanguard.edu,vanguard.edu
Southwestern College,http://swcc.edu,Chula Vista,CA,http://swcc.edu,swcc.edu
Monterey Institute of International Studies,http://miis.edu,Monterey,CA,http://miis.edu,miis.edu
Adams State University,http://adams.edu,Alamosa,CO,http://adams.edu,adams.edu
Auraria Higher Education Center,http://ahec.edu,Denver,CO,http://ahec.edu,ahec.edu
Aims Community College,http://aims.edu,Greeley,CO,http://aims.edu,aims.edu
Arapahoe Community College,http://arapahoe.edu,Littleton,CO,http://arapahoe.edu,arapahoe.edu
Community College of Aurora,http://ccaurora.edu,(multiple locations),CO,http://ccaurora.edu,ccaurora.edu
Community College of Denver,http://ccd.edu,Denver,CO,http://ccd.edu,ccd.edu
Colorado Heights University,http://chu.edu,Denver,CO,http://chu.edu,chu.edu
